Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,P2PActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
52.07764,0.52532923,52.07882018797664,-1.0117843777766797,0,0.25524044,6385.136,-0.7865449,4,1,false,false,false,-17.181528,-2.0038576,7.184143,1.7462285,-0.19455425,3
52.02788,0.52548605,52.0788164129574,-1.0117732941025812,0,0.2572133,6195.2793,-0.8297627,4,1,false,false,false,-18.449097,-1.5708323,7.790735,1.742499,-0.26311517,3
51.991783,0.5256426,52.07881254852693,-1.0117623564068434,0,0.25376076,6091.345,-0.86573094,4,1,false,false,false,-18.848583,-0.9062,8.2462015,1.7373255,-0.33993584,3
51.94842,0.52579886,52.078808684096465,-1.011751273177801,0,0.2512946,6179.6777,-0.8793621,4,1,false,false,false,-19.42143,-1.963653,8.516738,1.7315272,-0.35679692,3
51.895073,0.52595454,52.07880481966599,-1.0117404810153683,0,0.25745982,6163.1377,-0.88516307,4,1,false,false,false,-24.621368,-1.7677279,12.53147,1.7254064,-0.38156247,3
51.847023,0.5261097,52.07880086527575,-1.0117295433196307,0,0.28360054,6138.8706,-0.88922405,4,1,false,false,false,-19.336773,-1.690544,10.3342495,1.7190597,-0.37593493,3
51.79652,0.52626455,52.07879691088551,-1.011718751602254,0,0.31344023,6162.9927,-0.88168335,4,1,false,false,false,-25.207827,-1.7861341,12.16897,1.7127486,-0.39370984,3
51.744595,0.52641904,52.078792866535494,-1.0117079598848775,0,0.34278673,6162.615,-0.88371325,4,1,false,false,false,-26.134262,-1.456334,14.231228,1.7059268,-0.4216734,3
51.69907,0.52657294,52.07878882273401,-1.011697313700806,0,0.3689273,6152.2803,-0.87588215,4,1,false,false,false,-20.863106,-1.4474598,10.241133,1.6992737,-0.38215292,3
51.662655,0.5267265,52.07878468842422,-1.0116866675167346,0,0.3933416,6158.516,-0.8607999,4,1,false,false,false,-23.295305,-0.7250726,9.903833,1.6935124,-0.29630572,3
51.629604,0.5268799,52.07878055411444,-1.0116760217777192,0,0.43008637,6131.4746,-0.870081,4,1,false,false,false,-21.120296,-1.0225095,9.479857,1.6898129,-0.15152815,3
51.598526,0.5270327,52.07877633039341,-1.011665521572009,0,0.49987668,6145.741,-0.9086586,4,1,false,false,false,-16.031578,-0.8732338,6.246808,1.6876972,-0.103762306,3
51.57195,0.5271852,52.07877210612385,-1.0116550213662985,0,0.5556105,6187.4956,-0.9579693,4,1,false,false,false,-13.050624,-0.8560041,5.044065,1.6858915,-0.1099714,3
51.547962,0.52733743,52.07876788240283,-1.0116445211605882,0,0.5982739,6217.8525,-1.000029,4,1,false,false,false,-16.672878,-0.8065209,6.1166587,1.6835486,-0.18087704,3
51.53407,0.52748936,52.07876356872203,-1.011634166933239,0,0.62244153,6227.174,-1.0377373,4,1,false,false,false,-15.39882,0.25977102,6.497099,1.6797221,-0.26612034,3
51.529594,0.52764094,52.078759254492695,-1.0116238122608336,0,0.6342786,6195.9087,-1.0446997,4,1,false,false,false,-15.443954,0.33028972,7.1478148,1.6749192,-0.3049226,3
51.529545,0.5277923,52.0787549408119,-1.0116134580334843,0,0.6414305,6168.1084,-1.0386075,4,1,false,false,false,-17.217634,0.80695987,8.766744,1.6698537,-0.29045013,3
51.517998,0.52794343,52.07875053717133,-1.0116031038061353,0,0.64586926,6148.878,-1.0217841,4,1,false,false,false,-16.69091,-0.28336015,8.960733,1.6651537,-0.2894083,3
51.505188,0.52809423,52.07874613353076,-1.011592895112091,0,0.65178806,6193.122,-1.002929,4,1,false,false,false,-17.509296,0.01893627,8.766187,1.6599449,-0.33721346,3
51.49678,0.5282448,52.07874163993041,-1.0115826864180468,0,0.66214556,6220.0137,-0.9785634,4,1,false,false,false,-16.31917,0.29743016,7.500503,1.6540595,-0.3641426,3
51.49656,0.5283951,52.07873714633007,-1.0115724781690587,0,0.67743516,6209.4614,-0.9559385,4,1,false,false,false,-19.035973,0.9935929,9.830563,1.647993,-0.36075562,3
51.4982,0.5285453,52.07873265272973,-1.0115622694750146,0,0.69765735,6170.5015,-0.949848,4,1,false,false,false,-20.801783,0.7892313,11.660369,1.642102,-0.3464345,3
51.49198,0.5286953,52.078728069169614,-1.0115522067593314,0,0.7230581,6171.1787,-0.9550682,4,1,false,false,false,-19.552042,0.28441554,10.047312,1.6363162,-0.35810536,3
51.48832,0.5288451,52.0787234856095,-1.0115421440436483,0,0.74747217,6219.492,-0.9597098,4,1,false,false,false,-19.311575,0.77017635,10.010958,1.6301607,-0.38039622,3
